paper_id,include_in_mvp,source_set,authors_year,first_author,year,title,doi,source_url,country,country_iso3,region,lat,lon,geometry_note,theme_block,study_design,study_scale,land_use_system,hydrology_focus,economics_focus,adoption_focus,ghg_focus,pathway_tags,key_finding_short,south_germany_relevance,evidence_strength,caveat,visualization_role,citation_short,validation_status
P011,yes,uploaded_top20,Niemi et al. 2024,Niemi,2024,Rewetting on agricultural peatlands can offer cost effective greenhouse gas reduction at the national level,,,Finland,FIN,National agricultural peatland scenarios,63.0,26.0,Country-level point for national Finnish scenario study.,Hydrology + economics / national scenarios,National scenario / cost-effectiveness analysis,national_model,controlled drainage; paludiculture; restoration; afforestation,1,1,0,1,controlled_drainage|paludiculture|restoration|afforestation|compensation,Large-scale mitigation on agricultural peatlands can be cost-effective nationally but causes farm income losses and requires compensation.,Supports distinction between societal abatement efficiency and uneven farm-level income effects.,high_model,National Finnish setting; DOI/final metadata to validate.,cost_effectiveness_anchor,Niemi et al. (2024),doi_to_check
P012,yes,uploaded_top20,Sweers et al. 2013,Sweers,2013,Regulation of reed (Phragmites australis) by water buffalo grazing: Use in coastal conservation,,,Germany,DEU,Coastal conservation / wet grassland context,53.8,12.0,Approximate northern/coastal Germany point; exact site to validate if needed.,Wet grazing / robust grazing,Case / management study on water buffalo grazing and reed regulation,site_case,water buffalo grazing; reed regulation; wet grassland,0,0,0,0,water_buffalo|robust_grazing|reed_control|landscape_conservation,Moderate water buffalo grazing can reduce reed dominance and support more open vegetation structures.,"Conceptually relevant for wet, reed-dominated or difficult-to-machine sites, but not a universal production model.",medium_case,Coastal conservation context; not directly transferable to dairy/biogas production regions.,niche_pathway_evidence,Sweers et al. (2013),doi_to_check
P013,yes,uploaded_top20,Fűrész et al. 2023,Fűrész,2023,Examination of the Effects of Domestic Water Buffalo (Bubalus bubalis) Grazing on Wetland and Dry Grassland Habitats,,,Hungary,HUN,Wetland and dry grassland habitats,47.2,19.5,Country-level point for Hungarian habitat management study.,Wet grazing / robust grazing,Management study on water buffalo grazing in wetland and dry grassland habitats,site_case,domestic water buffalo grazing; wetland; dry grassland,0,0,0,0,water_buffalo|robust_grazing|habitat_management|invasive_species_control,Water buffalo grazing can suppress undesirable/invasive species such as Solidago gigantea and alter grassland structure.,Useful for robust grazing and habitat-management scenarios on wet mosaic landscapes.,medium_empirical,"Habitat-management focus, not a farm-economic study.",niche_pathway_evidence,Fűrész et al. (2023),doi_to_check
P014,yes,uploaded_top20,Thers et al. 2023,Thers,2023,Comparison of GHG emissions from annual crops in rotation on drained temperate agricultural peatland with production of reed canary grass in paludiculture using an LCA approach,10.1016/j.heliyon.2023.e17320,https://doi.org/10.1016/j.heliyon.2023.e17320,Denmark,DNK,Store Vildmose and Vejrumbro,56.8,9.8,Approximate point for northern/central Denmark study sites.,Biomass / wet mowing / LCA,Life Cycle Assessment comparing drained annual crops with reed canary grass paludiculture,site_lca,annual crops; reed canary grass paludiculture,1,0,0,1,reed_canary_grass|paludiculture|lca|biomass,"Reed canary grass on wet/shallow-drained peat reduced GHG emissions compared with deeply drained annual cropping, depending strongly on achieved water table.",Strong biomass-pathway evidence for agricultural peatland transition scenarios.,high_lca,LCA and Danish sites; product-use assumptions and water-table performance must be checked for South Germany.,biomass_ghg_evidence,Thers et al. (2023),metadata_ok
P015,yes,uploaded_top20,Becker et al. 2020,Becker,2020,Common Reed for Thatching in Northern Germany: Estimating the Market Potential of Reed of Regional Origin,,,Germany,DEU,Northern Germany,53.7,9.9,Approximate point for northern Germany reed value-chain context.,Product pathways / reed value chains,Market/value-chain study for common reed used in thatching,regional_market,common reed; thatching; regional value chain,0,1,1,0,reed|thatching|value_chain|market_potential,"Regional reed production could serve an existing import-dependent thatching value chain, but quality, harvest, processing and trade are decisive.",Useful as value-chain example; direct market transfer to South Germany is uncertain.,medium_market,Northern Germany and thatching-specific; not a general wet biomass pathway.,value_chain_case,Becker et al. (2020),doi_to_check
P016,yes,uploaded_top20,Hünnebeck-Wells et al. 2025,Hünnebeck-Wells,2025,"Transformation towards the sustainable management of peatlands: A characterisation of farmers in the Teufelsmoor, Germany",10.1002/pan3.10701,https://doi.org/10.1002/pan3.10701,Germany,DEU,"Teufelsmoor, Lower Saxony",53.2,8.9,Approximate point for Teufelsmoor.,Adoption / farmer transition / governance,Qualitative interviews with peatland farmers; farmer typology,regional_qualitative,peatland farming; rewetting; farmer transition,0,1,1,0,farmer_typology|planning_security|farm_identity|adoption,"Farmers are not uniformly opposed to rewetting; support is conditional on planning security, income, ownership and trustful collaboration.",Strong adoption source for explaining why compensation alone may be insufficient.,high_qualitative,Teufelsmoor-specific; social and institutional context differs from Upper Swabia.,adoption_anchor,Hünnebeck-Wells et al. (2025),metadata_ok
P017,yes,uploaded_top20,Merkelbach et al. 2026,Merkelbach,2026,Readiness to transform: Pioneer farmers’ motivations and barriers for adopting paludiculture in Germany,10.1371/journal.pstr.0000214,https://doi.org/10.1371/journal.pstr.0000214,Germany,DEU,"Lower Saxony, Mecklenburg-Western Pomerania, Brandenburg, Bavaria, Schleswig-Holstein",52.5,11.5,Multi-region German study; approximate central display point. Includes Bavaria.,Adoption / farmer transition / governance,Qualitative interviews with pioneer farms; Health Belief Model,multi_region_qualitative,paludiculture; water buffalo; reed; peat moss; wet meadow hay; cattail,0,1,1,0,pioneer_farmers|paludiculture|water_buffalo|wet_meadow_hay|adoption_barriers,"Adoption is shaped by perceived threats from drainage, networks, research contacts, programmes and self-image; barriers include costs, regulation, markets and advice.",Highly relevant because it includes German pioneer pathways and Bavarian cases.,high_qualitative,Pioneer farms are not representative of mainstream farmers.,adoption_anchor; pathway_examples,Merkelbach et al. (2026),metadata_ok
P018,yes,uploaded_top20,Nordbeck et al. 2025,Nordbeck,2025,The integration of peatlands into the EU Common Agricultural Policy: Recent progress and remaining challenges,10.1016/j.envsci.2025.104077,https://doi.org/10.1016/j.envsci.2025.104077,European Union,,EU-27 CAP Strategic Plans,50.85,4.35,EU policy study; display at Brussels / EU node.,Policy / governance,Comparative policy document analysis of EU Member States,eu_policy,peatland and wetland management; paludiculture eligibility; CAP,0,1,1,1,cap|gaec2|eco_schemes|pillar_ii|governance,"CAP 2023–2027 creates a stronger framework for peat/wetland management, but implementation differs strongly between Member States.",Important governance layer for understanding enabling and constraining policy conditions.,high_policy,Policy framework source; does not quantify farm-level outcomes.,policy_layer,Nordbeck et al. (2025),metadata_ok
P019,yes,uploaded_top20,Čížková et al. 2023,Čížková,2023,Ecological Basis of Ecosystem Services and Management of Wetlands Dominated by Common Reed (Phragmites australis): European Perspective,10.3390/d15050629,https://doi.org/10.3390/d15050629,Europe,,European Phragmites-dominated wetlands,50.0,10.0,European review; use as Europe-level reed ecology node.,Product pathways / reed ecology and management,"Review of reed ecology, ecosystem services and management",european_review,common reed; wetlands; ecosystem services; management,1,0,0,0,reed|ecosystem_services|habitat|management_problem|raw_material,"Reed can be habitat, raw material, water-treatment system or management problem depending on context and objectives.",Useful for explaining that reed pathways require explicit management goals and context-specific design.,medium_review,Ecological review; not a farm-economic or GHG mitigation study.,reed_context,Čížková et al. (2023),metadata_ok
P020,yes,uploaded_top20,Köbbing et al. 2013,Köbbing,2013,The Utilisation of Reed (Phragmites australis): A Review,,,International,,Global and European reed utilisation,,,Review; no single study site.,Product pathways / reed utilisation,"Descriptive review of reed use, harvest, yields and product pathways",international_review,reed; thatching; construction; insulation; paper; energy; fodder; compost; wastewater treatment,0,1,0,0,reed|product_pathways|biomass|construction|energy,Reed has multiple product pathways; harvest timing and quality requirements determine feasible uses.,Useful background for product pathway exploration; not sufficient alone to justify implementation.,medium_review,Older descriptive review; use as background rather than core evidence for economics or GHG.,product_pathway_catalog,Köbbing et al. (2013),doi_to_check
P021,yes,added_core_from_research_discussion,Girkin et al. 2023,Girkin,2023,"The three-peat challenge: business as usual, responsible agriculture, and conservation and restoration as management trajectories in global peatlands",10.1080/17583004.2023.2275578,https://doi.org/10.1080/17583004.2023.2275578,International,,Global peatlands,,,Conceptual/global synthesis; no single study region.,International synthesis / transition framework,Conceptual synthesis,global_conceptual,business as usual; responsible agriculture; conservation/restoration,1,1,0,1,business_as_usual|responsible_agriculture|restoration|transition_trajectories,"Frames peatland management as three trajectories: business as usual, responsible agriculture, and conservation/restoration.",Very strong conceptual frame for the Atlas because it avoids a simplistic drainage-versus-restoration binary.,high_conceptual,Not in the uploaded Top-20 file; added because it is central for the Transition Atlas framing.,transition_frame; chapter_structure,Girkin et al. (2023),metadata_ok
